query,query_group,mode,rank,image_id,score,file_path,photo_url,ai_description,keywords,brightness,contrast,saturation,warmth,detected_objects,weak_relevance,keyword_filter,rerank
warm cinematic landscape,style_semantic,qdrant_rerank,1,QheWOfwEUio,0.37938269026030347,data\unsplash-lite\images\QheWOfwEUio.jpg,https://unsplash.com/photos/QheWOfwEUio,forest covered in fog,"[""abies"", ""adventure"", ""cold"", ""colorado"", ""conifer"", ""countryside"", ""dark"", ""ditch"", ""fall"", ""fir"", ""fog"", ""forest"", ""gunnison"", ""hiking"", ""hill"", ""lake city"", ""land"", ""landscape"", ""larch"", ""leisure activities"", ""mist"", ""mood"", ""moody"", ""mountain"", ""mountain range"", ""mountains"", ""nature"", ""outdoors"", ""peak"", ""pine"", ""plant"", ""plateau"", ""rain"", ""scenery"", ""sky"", ""slope"", ""smog"", ""smoke"", ""spruce"", ""sunrise"", ""tree"", ""trees"", ""vegetation"", ""weather"", ""wilderness"", ""winter"", ""woodland""]",0.3779177730119826,0.3812661441692387,0.09031824672485954,0.5094532280200091,[],2,,True
warm cinematic landscape,style_semantic,qdrant_rerank,2,SwgiWNurMuM,0.37928652122666107,data\unsplash-lite\images\SwgiWNurMuM.jpg,https://unsplash.com/photos/SwgiWNurMuM,mountain scenery,"[""adventure"", ""aerial view"", ""aircraft"", ""architecture"", ""azure sky"", ""backgrounds"", ""building"", ""canyon"", ""castle"", ""cloud"", ""countryside"", ""dawn"", ""dusk"", ""flare"", ""fog"", ""fort"", ""hiking"", ""hill"", ""horizon"", ""hot air balloon"", ""land"", ""landscape"", ""leisure activities"", ""light"", ""mesa"", ""mist"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""panoramic"", ""plateau"", ""red sky"", ""scenery"", ""sky"", ""sun"", ""sunlight"", ""sunrise"", ""sunset"", ""tower"", ""transportation"", ""valley"", ""vehicle"", ""wallpapers"", ""weather""]",0.5247896348209422,0.31421107793722974,0.28857038909313726,0.5699697723056236,[],2,,True
warm cinematic landscape,style_semantic,qdrant_rerank,3,kzA0vrx996c,0.37607247487860396,data\unsplash-lite\images\kzA0vrx996c.jpg,https://unsplash.com/photos/kzA0vrx996c,man sits on the mountain facing landscape view,"[""abies"", ""animal"", ""archaeology"", ""architecture"", ""bird"", ""bison"", ""building"", ""bull"", ""bunker"", ""cliff"", ""conifer"", ""countryside"", ""crater"", ""deer"", ""dirt road"", ""donner"", ""elk"", ""field"", ""fir"", ""fog"", ""forest"", ""freeway"", ""grassland"", ""gravel"", ""hiking"", ""house"", ""housing"", ""human"", ""hut"", ""lake"", ""land"", ""landscape"", ""landslide"", ""mammal"", ""mist"", ""mountain"", ""nature"", ""outdoors"", ""person"", ""pine"", ""plant"", ""plateau"", ""road"", ""rural"", ""scenery"", ""slate"", ""slope"", ""spruce"", ""tree"", ""trees"", ""volcano"", ""vulture"", ""water"", ""weather"", ""wildlife""]",0.4570844833534587,0.299755133193755,0.16095890564803633,0.49040527203366685,[],1,,True
warm cinematic landscape,style_semantic,qdrant_rerank,4,mhePnduuYT0,0.3758773568431574,data\unsplash-lite\images\mhePnduuYT0.jpg,https://unsplash.com/photos/mhePnduuYT0,snow covered mountain under cloudy sky during daytime,"[""glacier"", ""ground"", ""ice"", ""landscape"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""photo"", ""photography"", ""piste"", ""scenery"", ""slope"", ""snow"", ""sport"", ""sports"", ""wilderness""]",0.2050840369417729,0.18285389466690818,0.21049477419294713,0.4991623681316633,[],1,,True
warm cinematic landscape,style_semantic,qdrant_rerank,5,Wnts0njP-n0,0.37514137142985615,data\unsplash-lite\images\Wnts0njP-n0.jpg,https://unsplash.com/photos/Wnts0njP-n0,snow-covered mountain,"[""abies"", ""adventure"", ""backgrounds"", ""banister"", ""cliff"", ""fir"", ""forest"", ""glacier"", ""handrail"", ""hiking"", ""ice"", ""landscape"", ""leisure activities"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""peak"", ""plant"", ""plateau"", ""scenery"", ""skiing"", ""sky"", ""slope"", ""snow"", ""snowboarding"", ""sport"", ""sports"", ""tree"", ""wallpaper"", ""wallpapers"", ""winter""]",0.568092871312748,0.34568438363975224,0.08684480298717727,0.4813558827123225,[],1,,True
warm cinematic landscape,style_semantic,qdrant_rerank,6,LUpby1ackK8,0.3735847425272222,data\unsplash-lite\images\LUpby1ackK8.jpg,https://unsplash.com/photos/LUpby1ackK8,a mountain range with a house in the foreground,"[""abies"", ""aerial view"", ""architecture"", ""asphalt"", ""backgrounds"", ""basin"", ""bell tower"", ""building"", ""cabin"", ""camping"", ""cloud"", ""conifer"", ""countryside"", ""crater"", ""dirt road"", ""field"", ""fir"", ""fog"", ""forest"", ""freeway"", ""glacier"", ""grass"", ""grassland"", ""gravel"", ""highway"", ""hiking"", ""house"", ""housing"", ""human"", ""hut"", ""ice"", ""land"", ""landscape"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""peak"", ""person"", ""pine"", ""piste"", ""plant"", ""plateau"", ""road"", ""rural"", ""scenery"", ""shelter"", ""sky"", ""slope"", ""snow"", ""soil"", ""sport"", ""sports"", ""spruce"", ""tarmac"", ""tower"", ""transportation"", ""tree"", ""valley"", ""vegetation"", ""vehicle"", ""volcano"", ""wallpapers"", ""weather"", ""wilderness"", ""woodland""]",0.635850714390574,0.34256803443239,0.17749016456354677,0.5056297651303359,[],1,,True
warm cinematic landscape,style_semantic,qdrant_rerank,7,-YiJvbfNDqk,0.37352762593917044,data\unsplash-lite\images\-YiJvbfNDqk.jpg,https://unsplash.com/photos/-YiJvbfNDqk,silhouette photograph of forest,"[""art"", ""atmosphere"", ""austria"", ""autumn"", ""birds"", ""dark"", ""dawn"", ""dusk"", ""evening"", ""field"", ""flora"", ""fly"", ""flying"", ""geological phenomenon"", ""gradient"", ""grass"", ""house"", ""landscape"", ""mist"", ""morning"", ""mothernature"", ""mountain"", ""mountain range"", ""nature"", ""october"", ""outdoors"", ""phenomenon"", ""pink"", ""pink sky"", ""plant"", ""red sky"", ""scenery"", ""silhouette"", ""sky"", ""sunrise"", ""sunset"", ""tree"", ""trees""]",0.5574150916781668,0.32597877269395076,0.12404972848743602,0.5313310741727042,[],2,,True
warm cinematic landscape,style_semantic,qdrant_rerank,8,VOHg6WZeSJ8,0.3713911270836688,data\unsplash-lite\images\VOHg6WZeSJ8.jpg,https://unsplash.com/photos/VOHg6WZeSJ8,mountain covered with fogs,"[""abies"", ""atmospheric phenomenon"", ""brasov"", ""cloud"", ""cloudy"", ""conifer"", ""evergreen"", ""fir"", ""flora"", ""fog"", ""forest"", ""habitat"", ""holbav"", ""land"", ""landscape"", ""light"", ""mist"", ""morning"", ""mountain"", ""nature"", ""outdoors"", ""pine"", ""plant"", ""romania"", ""spruce"", ""tree"", ""trees"", ""vegetation"", ""weather"", ""wilderness"", ""wood"", ""woods""]",0.47603347545615465,0.28669733019010685,0.18946634263514434,0.5462773740681168,[],1,,True
warm cinematic landscape,style_semantic,qdrant_rerank,9,hyoJJZd_hhI,0.37049276573244594,data\unsplash-lite\images\hyoJJZd_hhI.jpg,https://unsplash.com/photos/hyoJJZd_hhI,view of trees in aerial photography,"[""aerial view"", ""art"", ""land"", ""landscape"", ""nature"", ""outdoors"", ""painting"", ""panoramic"", ""scenery""]",0.39509766023922593,0.23026699926920105,0.34253709581163194,0.561180518655216,[],2,,True
warm cinematic landscape,style_semantic,qdrant_rerank,10,gqYOrTAszQc,0.3703137126403897,data\unsplash-lite\images\gqYOrTAszQc.jpg,https://unsplash.com/photos/gqYOrTAszQc,rock formation in front of beachline,"[""aerial view"", ""azure sky"", ""backgrounds"", ""bay"", ""beach"", ""cliff"", ""cloud"", ""coast"", ""land"", ""landscape"", ""mesa"", ""mountain"", ""nature"", ""ocean"", ""outdoors"", ""panoramic"", ""plateau"", ""promontory"", ""river"", ""sand"", ""scenery"", ""sea"", ""sea waves"", ""shoreline"", ""sky"", ""wallpapers"", ""water"", ""waterfall""]",0.5859211441738154,0.277827174970182,0.11443982758033769,0.4657471766918573,[],1,,True
dark moody forest,style_semantic,qdrant_semantic,1,Hr8gz4OE-Cs,0.3255114137484992,data\unsplash-lite\images\Hr8gz4OE-Cs.jpg,https://unsplash.com/photos/Hr8gz4OE-Cs,silhouette of trees during nighttime,"[""animal"", ""astronomy"", ""flock"", ""fog"", ""foggy"", ""full moon"", ""mist"", ""misty"", ""moon"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""ridge"", ""space"", ""treeline"", ""trees"", ""universe"", ""weather""]",0.19425560455120464,0.12511106005775352,0.5452302016847794,0.4333861062295153,[],1,,False
dark moody forest,style_semantic,qdrant_semantic,2,Jea6w_Z72xw,0.31786589668167087,data\unsplash-lite\images\Jea6w_Z72xw.jpg,https://unsplash.com/photos/Jea6w_Z72xw,tree covered with snow during daytime,"[""abies"", ""art"", ""conifer"", ""dock"", ""fir"", ""flare"", ""fog"", ""ice"", ""land"", ""larch"", ""light"", ""mist"", ""mountain"", ""nature"", ""outdoors"", ""painting"", ""pier"", ""pine"", ""plant"", ""port"", ""redwood"", ""scenery"", ""snow"", ""spruce"", ""texture"", ""tree"", ""vegetation"", ""water"", ""waterfront"", ""weather"", ""winter""]",0.2519683781632311,0.1672759578594758,0.29909768483604265,0.46693467718283893,[],2,,False
dark moody forest,style_semantic,qdrant_semantic,3,ew7XKxj0Lsg,0.3177044170908479,data\unsplash-lite\images\ew7XKxj0Lsg.jpg,https://unsplash.com/photos/ew7XKxj0Lsg,forest during daytime,"[""animal"", ""astronomy"", ""atmosphere"", ""can"", ""conifer"", ""dungeon"", ""ecosystem"", ""firefly"", ""flare"", ""forest"", ""green"", ""grove"", ""insect"", ""invertebrate"", ""jungle"", ""land"", ""light"", ""nature"", ""nebula"", ""night"", ""old growth forest"", ""outdoors"", ""outer space"", ""plant"", ""rainforest"", ""redwood"", ""scenery"", ""space"", ""tin"", ""trash can"", ""tree"", ""tree trunk"", ""universe"", ""vegetation"", ""weather"", ""woodland""]",0.11533022295667901,0.1215384775892445,0.3154869529253868,0.49776771376101686,[],2,,False
dark moody forest,style_semantic,qdrant_semantic,4,DfYPBHaOR04,0.31754071634544756,data\unsplash-lite\images\DfYPBHaOR04.jpg,https://unsplash.com/photos/DfYPBHaOR04,bare trees,"[""abies"", ""astronomy"", ""birch"", ""bush"", ""conifer"", ""dawn"", ""dusk"", ""fir"", ""fire"", ""flame"", ""flare"", ""fog"", ""forest"", ""forest fire"", ""ground"", ""grove"", ""jungle"", ""land"", ""light"", ""nature"", ""night"", ""outdoors"", ""plant"", ""red sky"", ""silhouette"", ""sky"", ""sunlight"", ""sunset"", ""tree"", ""tree trunk"", ""vegetation"", ""weather"", ""woodland""]",0.2532746512066365,0.21191971782442284,0.2506898674968684,0.5063761040596161,[],2,,False
dark moody forest,style_semantic,qdrant_semantic,5,39utYXTgMYo,0.31615488459059654,data\unsplash-lite\images\39utYXTgMYo.jpg,https://unsplash.com/photos/39utYXTgMYo,a dark forest filled with lots of trees,"[""animal"", ""call of duty"", ""fire"", ""flare"", ""fog"", ""forest fire"", ""ground"", ""insect"", ""invertebrate"", ""jungle"", ""land"", ""light"", ""mist"", ""nature"", ""outdoors"", ""plant"", ""pollution"", ""sunlight"", ""tree"", ""vegetation"", ""weather""]",0.12732112111608967,0.07156792928416199,0.1661284702276093,0.4916955935409646,[],2,,False
dark moody forest,style_semantic,qdrant_semantic,6,1_a_WAqHIUU,0.3132279621113867,data\unsplash-lite\images\1_a_WAqHIUU.jpg,https://unsplash.com/photos/1_a_WAqHIUU,green forest with tall trees,"[""abies"", ""agaric"", ""animal"", ""art"", ""bog"", ""creek"", ""den"", ""ditch"", ""eerie"", ""explore"", ""fir"", ""flare"", ""fog"", ""forest"", ""fungus"", ""glow"", ""grass"", ""ground"", ""grove"", ""jungle"", ""land"", ""light"", ""mammal"", ""marsh"", ""mushroom"", ""nature"", ""outdoors"", ""painting"", ""plant"", ""rain"", ""rain forest"", ""redwood"", ""root"", ""scenery"", ""soil"", ""stream"", ""sunlight"", ""swamp"", ""tree"", ""tree stump"", ""trees"", ""vegetation"", ""water"", ""weather"", ""wilderness"", ""wood"", ""woodland""]",0.18222575285788764,0.10396859740758785,0.12028742593016455,0.49915441573840946,[],2,,False
dark moody forest,style_semantic,qdrant_semantic,7,oO15xC38wj4,0.3127979877394328,data\unsplash-lite\images\oO15xC38wj4.jpg,https://unsplash.com/photos/oO15xC38wj4,green forest,"[""atmosphere"", ""atmospheric phenomenon"", ""cityscape"", ""cloudy"", ""composition"", ""conifer"", ""darkness"", ""dirt road"", ""flora"", ""fog"", ""foggy"", ""foliage"", ""forest"", ""gravel"", ""hiking"", ""journey"", ""jungle"", ""land"", ""light"", ""mist"", ""morning"", ""mountain"", ""nature"", ""outdoors"", ""pine"", ""pines"", ""plant"", ""road"", ""sky"", ""sunrise"", ""tree"", ""urban"", ""vegetation"", ""winter"", ""woodland""]",0.18783820025444195,0.17371381771096786,0.11300722176700592,0.48761362064070496,[],2,,False
dark moody forest,style_semantic,qdrant_semantic,8,wB6B3AqXjy0,0.31218739469269785,data\unsplash-lite\images\wB6B3AqXjy0.jpg,https://unsplash.com/photos/wB6B3AqXjy0,tall trees,"[""abies"", ""alone"", ""clouds"", ""cold"", ""conifer"", ""dark"", ""fir"", ""flare"", ""fog"", ""forest"", ""haunted"", ""haunting"", ""isolated"", ""jungle"", ""land"", ""light"", ""marion county"", ""mist"", ""nature"", ""oregon"", ""outdoors"", ""plant"", ""redwood"", ""remote"", ""silhouette"", ""smog"", ""smoke"", ""sphere"", ""spooky"", ""sunlight"", ""tree"", ""trees"", ""vegetation"", ""weather"", ""wild"", ""wildnerness"", ""woodland"", ""woods""]",0.2945086988241044,0.24247187560021125,0.21481470749956874,0.48654686466778796,[],2,,False
dark moody forest,style_semantic,qdrant_semantic,9,UhP0GH9mcCw,0.3115784778257865,data\unsplash-lite\images\UhP0GH9mcCw.jpg,https://unsplash.com/photos/UhP0GH9mcCw,tall trees,"[""abies"", ""armored"", ""army"", ""arrow"", ""boat"", ""bog"", ""call of duty"", ""conifer"", ""creek"", ""exercise"", ""face"", ""fir"", ""fire"", ""fishing"", ""fitness"", ""forest"", ""forest fire"", ""grove"", ""hiking"", ""human"", ""hunting"", ""jogging"", ""jungle"", ""land"", ""marsh"", ""military"", ""military uniform"", ""nature"", ""outdoors"", ""paintball"", ""path"", ""people"", ""person"", ""photo"", ""photography"", ""plant"", ""portrait"", ""rainforest"", ""redwood"", ""rock"", ""sitting"", ""sniper"", ""snow"", ""soldier"", ""sport"", ""sports"", ""standing"", ""stream"", ""sunlight"", ""swamp"", ""symbol"", ""trail"", ""transportation"", ""tree"", ""vegetation"", ""vehicle"", ""water"", ""wilderness"", ""wood"", ""woodland"", ""working out""]",0.14386978252121743,0.16301678400493191,0.279986922007609,0.5129626568444542,[],2,,False
dark moody forest,style_semantic,qdrant_semantic,10,fG34nL4nDZY,0.31146999500778805,data\unsplash-lite\images\fG34nL4nDZY.jpg,https://unsplash.com/photos/fG34nL4nDZY,empty roads surrounded with trees,"[""abies"", ""accipiter"", ""animal"", ""art"", ""birch"", ""bird"", ""blue jay"", ""boardwalk"", ""bog"", ""bridge"", ""building"", ""cabin"", ""camping"", ""conifer"", ""cottage"", ""creek"", ""deer"", ""ditch"", ""elk"", ""fir"", ""forest"", ""ground"", ""grove"", ""house"", ""housing"", ""ice"", ""jay"", ""jungle"", ""land"", ""mammal"", ""marsh"", ""nature"", ""outdoors"", ""painting"", ""path"", ""plant"", ""redwood"", ""river"", ""road"", ""scenery"", ""slate"", ""stream"", ""swamp"", ""trail"", ""tree"", ""tree trunk"", ""vegetation"", ""water"", ""wildlife"", ""wolf"", ""wood"", ""woodland""]",0.16672603475870582,0.08046074766094874,0.16516713452401457,0.5149722257360119,[],2,,False
dark moody forest,style_semantic,qdrant_rerank,1,Hr8gz4OE-Cs,0.4215543933874941,data\unsplash-lite\images\Hr8gz4OE-Cs.jpg,https://unsplash.com/photos/Hr8gz4OE-Cs,silhouette of trees during nighttime,"[""animal"", ""astronomy"", ""flock"", ""fog"", ""foggy"", ""full moon"", ""mist"", ""misty"", ""moon"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""ridge"", ""space"", ""treeline"", ""trees"", ""universe"", ""weather""]",0.19425560455120464,0.12511106005775352,0.5452302016847794,0.4333861062295153,[],1,,True
dark moody forest,style_semantic,qdrant_rerank,2,DfYPBHaOR04,0.420486170586309,data\unsplash-lite\images\DfYPBHaOR04.jpg,https://unsplash.com/photos/DfYPBHaOR04,bare trees,"[""abies"", ""astronomy"", ""birch"", ""bush"", ""conifer"", ""dawn"", ""dusk"", ""fir"", ""fire"", ""flame"", ""flare"", ""fog"", ""forest"", ""forest fire"", ""ground"", ""grove"", ""jungle"", ""land"", ""light"", ""nature"", ""night"", ""outdoors"", ""plant"", ""red sky"", ""silhouette"", ""sky"", ""sunlight"", ""sunset"", ""tree"", ""tree trunk"", ""vegetation"", ""weather"", ""woodland""]",0.2532746512066365,0.21191971782442284,0.2506898674968684,0.5063761040596161,[],2,,True
dark moody forest,style_semantic,qdrant_rerank,3,oO15xC38wj4,0.41729249305025085,data\unsplash-lite\images\oO15xC38wj4.jpg,https://unsplash.com/photos/oO15xC38wj4,green forest,"[""atmosphere"", ""atmospheric phenomenon"", ""cityscape"", ""cloudy"", ""composition"", ""conifer"", ""darkness"", ""dirt road"", ""flora"", ""fog"", ""foggy"", ""foliage"", ""forest"", ""gravel"", ""hiking"", ""journey"", ""jungle"", ""land"", ""light"", ""mist"", ""morning"", ""mountain"", ""nature"", ""outdoors"", ""pine"", ""pines"", ""plant"", ""road"", ""sky"", ""sunrise"", ""tree"", ""urban"", ""vegetation"", ""winter"", ""woodland""]",0.18783820025444195,0.17371381771096786,0.11300722176700592,0.48761362064070496,[],2,,True
dark moody forest,style_semantic,qdrant_rerank,4,Jea6w_Z72xw,0.41531286997328365,data\unsplash-lite\images\Jea6w_Z72xw.jpg,https://unsplash.com/photos/Jea6w_Z72xw,tree covered with snow during daytime,"[""abies"", ""art"", ""conifer"", ""dock"", ""fir"", ""flare"", ""fog"", ""ice"", ""land"", ""larch"", ""light"", ""mist"", ""mountain"", ""nature"", ""outdoors"", ""painting"", ""pier"", ""pine"", ""plant"", ""port"", ""redwood"", ""scenery"", ""snow"", ""spruce"", ""texture"", ""tree"", ""vegetation"", ""water"", ""waterfront"", ""weather"", ""winter""]",0.2519683781632311,0.1672759578594758,0.29909768483604265,0.46693467718283893,[],2,,True
dark moody forest,style_semantic,qdrant_rerank,5,wB6B3AqXjy0,0.4151359431165368,data\unsplash-lite\images\wB6B3AqXjy0.jpg,https://unsplash.com/photos/wB6B3AqXjy0,tall trees,"[""abies"", ""alone"", ""clouds"", ""cold"", ""conifer"", ""dark"", ""fir"", ""flare"", ""fog"", ""forest"", ""haunted"", ""haunting"", ""isolated"", ""jungle"", ""land"", ""light"", ""marion county"", ""mist"", ""nature"", ""oregon"", ""outdoors"", ""plant"", ""redwood"", ""remote"", ""silhouette"", ""smog"", ""smoke"", ""sphere"", ""spooky"", ""sunlight"", ""tree"", ""trees"", ""vegetation"", ""weather"", ""wild"", ""wildnerness"", ""woodland"", ""woods""]",0.2945086988241044,0.24247187560021125,0.21481470749956874,0.48654686466778796,[],2,,True
dark moody forest,style_semantic,qdrant_rerank,6,wL8Yx2tOmYI,0.4142817670139428,data\unsplash-lite\images\wL8Yx2tOmYI.jpg,https://unsplash.com/photos/wL8Yx2tOmYI,bare tree foggy scenery,"[""backgrounds"", ""flare"", ""fog"", ""forest"", ""grove"", ""jungle"", ""land"", ""light"", ""mist"", ""nature"", ""outdoors"", ""plant"", ""silhouette"", ""sunlight"", ""tree"", ""vegetation"", ""wallpapers"", ""weather"", ""woodland""]",0.21221485853113176,0.2149290281066873,0.4497640841789932,0.4638050171640294,[],2,,True
