query,query_group,mode,rank,image_id,file_path,visual_relevance,visual_notes,visible_main_object,style_match,failure_reason,weak_relevance,ai_description,keywords
warm cinematic landscape,style_semantic,qdrant_rerank,1,QheWOfwEUio,data\unsplash-lite\images\QheWOfwEUio.jpg,2,"Full visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,yes,good_match,2,forest covered in fog,"[""abies"", ""adventure"", ""cold"", ""colorado"", ""conifer"", ""countryside"", ""dark"", ""ditch"", ""fall"", ""fir"", ""fog"", ""forest"", ""gunnison"", ""hiking"", ""hill"", ""lake city"", ""land"", ""landscape"", ""larch"", ""leisure activities"", ""mist"", ""mood"", ""moody"", ""mountain"", ""mountain range"", ""mountains"", ""nature"", ""outdoors"", ""peak"", ""pine"", ""plant"", ""plateau"", ""rain"", ""scenery"", ""sky"", ""slope"", ""smog"", ""smoke"", ""spruce"", ""sunrise"", ""tree"", ""trees"", ""vegetation"", ""weather"", ""wilderness"", ""winter"", ""woodland""]"
warm cinematic landscape,style_semantic,qdrant_rerank,2,SwgiWNurMuM,data\unsplash-lite\images\SwgiWNurMuM.jpg,2,"Full visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,yes,good_match,2,mountain scenery,"[""adventure"", ""aerial view"", ""aircraft"", ""architecture"", ""azure sky"", ""backgrounds"", ""building"", ""canyon"", ""castle"", ""cloud"", ""countryside"", ""dawn"", ""dusk"", ""flare"", ""fog"", ""fort"", ""hiking"", ""hill"", ""horizon"", ""hot air balloon"", ""land"", ""landscape"", ""leisure activities"", ""light"", ""mesa"", ""mist"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""panoramic"", ""plateau"", ""red sky"", ""scenery"", ""sky"", ""sun"", ""sunlight"", ""sunrise"", ""sunset"", ""tower"", ""transportation"", ""valley"", ""vehicle"", ""wallpapers"", ""weather""]"
warm cinematic landscape,style_semantic,qdrant_rerank,3,kzA0vrx996c,data\unsplash-lite\images\kzA0vrx996c.jpg,1,"Partial visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,partial,style_mismatch,1,man sits on the mountain facing landscape view,"[""abies"", ""animal"", ""archaeology"", ""architecture"", ""bird"", ""bison"", ""building"", ""bull"", ""bunker"", ""cliff"", ""conifer"", ""countryside"", ""crater"", ""deer"", ""dirt road"", ""donner"", ""elk"", ""field"", ""fir"", ""fog"", ""forest"", ""freeway"", ""grassland"", ""gravel"", ""hiking"", ""house"", ""housing"", ""human"", ""hut"", ""lake"", ""land"", ""landscape"", ""landslide"", ""mammal"", ""mist"", ""mountain"", ""nature"", ""outdoors"", ""person"", ""pine"", ""plant"", ""plateau"", ""road"", ""rural"", ""scenery"", ""slate"", ""slope"", ""spruce"", ""tree"", ""trees"", ""volcano"", ""vulture"", ""water"", ""weather"", ""wildlife""]"
warm cinematic landscape,style_semantic,qdrant_rerank,4,mhePnduuYT0,data\unsplash-lite\images\mhePnduuYT0.jpg,1,"Partial visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,partial,style_mismatch,1,snow covered mountain under cloudy sky during daytime,"[""glacier"", ""ground"", ""ice"", ""landscape"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""photo"", ""photography"", ""piste"", ""scenery"", ""slope"", ""snow"", ""sport"", ""sports"", ""wilderness""]"
warm cinematic landscape,style_semantic,qdrant_rerank,5,Wnts0njP-n0,data\unsplash-lite\images\Wnts0njP-n0.jpg,1,"Partial visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,partial,style_mismatch,1,snow-covered mountain,"[""abies"", ""adventure"", ""backgrounds"", ""banister"", ""cliff"", ""fir"", ""forest"", ""glacier"", ""handrail"", ""hiking"", ""ice"", ""landscape"", ""leisure activities"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""peak"", ""plant"", ""plateau"", ""scenery"", ""skiing"", ""sky"", ""slope"", ""snow"", ""snowboarding"", ""sport"", ""sports"", ""tree"", ""wallpaper"", ""wallpapers"", ""winter""]"
warm cinematic landscape,style_semantic,qdrant_rerank,6,LUpby1ackK8,data\unsplash-lite\images\LUpby1ackK8.jpg,1,"Partial visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,partial,style_mismatch,1,a mountain range with a house in the foreground,"[""abies"", ""aerial view"", ""architecture"", ""asphalt"", ""backgrounds"", ""basin"", ""bell tower"", ""building"", ""cabin"", ""camping"", ""cloud"", ""conifer"", ""countryside"", ""crater"", ""dirt road"", ""field"", ""fir"", ""fog"", ""forest"", ""freeway"", ""glacier"", ""grass"", ""grassland"", ""gravel"", ""highway"", ""hiking"", ""house"", ""housing"", ""human"", ""hut"", ""ice"", ""land"", ""landscape"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""peak"", ""person"", ""pine"", ""piste"", ""plant"", ""plateau"", ""road"", ""rural"", ""scenery"", ""shelter"", ""sky"", ""slope"", ""snow"", ""soil"", ""sport"", ""sports"", ""spruce"", ""tarmac"", ""tower"", ""transportation"", ""tree"", ""valley"", ""vegetation"", ""vehicle"", ""volcano"", ""wallpapers"", ""weather"", ""wilderness"", ""woodland""]"
warm cinematic landscape,style_semantic,qdrant_rerank,7,-YiJvbfNDqk,data\unsplash-lite\images\-YiJvbfNDqk.jpg,2,"Full visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,yes,good_match,2,silhouette photograph of forest,"[""art"", ""atmosphere"", ""austria"", ""autumn"", ""birds"", ""dark"", ""dawn"", ""dusk"", ""evening"", ""field"", ""flora"", ""fly"", ""flying"", ""geological phenomenon"", ""gradient"", ""grass"", ""house"", ""landscape"", ""mist"", ""morning"", ""mothernature"", ""mountain"", ""mountain range"", ""nature"", ""october"", ""outdoors"", ""phenomenon"", ""pink"", ""pink sky"", ""plant"", ""red sky"", ""scenery"", ""silhouette"", ""sky"", ""sunrise"", ""sunset"", ""tree"", ""trees""]"
warm cinematic landscape,style_semantic,qdrant_rerank,8,VOHg6WZeSJ8,data\unsplash-lite\images\VOHg6WZeSJ8.jpg,2,"Full visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,yes,good_match,1,mountain covered with fogs,"[""abies"", ""atmospheric phenomenon"", ""brasov"", ""cloud"", ""cloudy"", ""conifer"", ""evergreen"", ""fir"", ""flora"", ""fog"", ""forest"", ""habitat"", ""holbav"", ""land"", ""landscape"", ""light"", ""mist"", ""morning"", ""mountain"", ""nature"", ""outdoors"", ""pine"", ""plant"", ""romania"", ""spruce"", ""tree"", ""trees"", ""vegetation"", ""weather"", ""wilderness"", ""wood"", ""woods""]"
warm cinematic landscape,style_semantic,qdrant_rerank,9,hyoJJZd_hhI,data\unsplash-lite\images\hyoJJZd_hhI.jpg,2,"Full visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,yes,good_match,2,view of trees in aerial photography,"[""aerial view"", ""art"", ""land"", ""landscape"", ""nature"", ""outdoors"", ""painting"", ""panoramic"", ""scenery""]"
warm cinematic landscape,style_semantic,qdrant_rerank,10,gqYOrTAszQc,data\unsplash-lite\images\gqYOrTAszQc.jpg,1,"Partial visual match. Reranking adds more warm haze, sunset color, and atmospheric landscape consistency.",landscape,partial,style_mismatch,1,rock formation in front of beachline,"[""aerial view"", ""azure sky"", ""backgrounds"", ""bay"", ""beach"", ""cliff"", ""cloud"", ""coast"", ""land"", ""landscape"", ""mesa"", ""mountain"", ""nature"", ""ocean"", ""outdoors"", ""panoramic"", ""plateau"", ""promontory"", ""river"", ""sand"", ""scenery"", ""sea"", ""sea waves"", ""shoreline"", ""sky"", ""wallpapers"", ""water"", ""waterfall""]"
dark moody forest,style_semantic,qdrant_semantic,1,Hr8gz4OE-Cs,data\unsplash-lite\images\Hr8gz4OE-Cs.jpg,1,Partial visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,partial,style_mismatch,1,silhouette of trees during nighttime,"[""animal"", ""astronomy"", ""flock"", ""fog"", ""foggy"", ""full moon"", ""mist"", ""misty"", ""moon"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""ridge"", ""space"", ""treeline"", ""trees"", ""universe"", ""weather""]"
dark moody forest,style_semantic,qdrant_semantic,2,Jea6w_Z72xw,data\unsplash-lite\images\Jea6w_Z72xw.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,tree covered with snow during daytime,"[""abies"", ""art"", ""conifer"", ""dock"", ""fir"", ""flare"", ""fog"", ""ice"", ""land"", ""larch"", ""light"", ""mist"", ""mountain"", ""nature"", ""outdoors"", ""painting"", ""pier"", ""pine"", ""plant"", ""port"", ""redwood"", ""scenery"", ""snow"", ""spruce"", ""texture"", ""tree"", ""vegetation"", ""water"", ""waterfront"", ""weather"", ""winter""]"
dark moody forest,style_semantic,qdrant_semantic,3,ew7XKxj0Lsg,data\unsplash-lite\images\ew7XKxj0Lsg.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,forest during daytime,"[""animal"", ""astronomy"", ""atmosphere"", ""can"", ""conifer"", ""dungeon"", ""ecosystem"", ""firefly"", ""flare"", ""forest"", ""green"", ""grove"", ""insect"", ""invertebrate"", ""jungle"", ""land"", ""light"", ""nature"", ""nebula"", ""night"", ""old growth forest"", ""outdoors"", ""outer space"", ""plant"", ""rainforest"", ""redwood"", ""scenery"", ""space"", ""tin"", ""trash can"", ""tree"", ""tree trunk"", ""universe"", ""vegetation"", ""weather"", ""woodland""]"
dark moody forest,style_semantic,qdrant_semantic,4,DfYPBHaOR04,data\unsplash-lite\images\DfYPBHaOR04.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,bare trees,"[""abies"", ""astronomy"", ""birch"", ""bush"", ""conifer"", ""dawn"", ""dusk"", ""fir"", ""fire"", ""flame"", ""flare"", ""fog"", ""forest"", ""forest fire"", ""ground"", ""grove"", ""jungle"", ""land"", ""light"", ""nature"", ""night"", ""outdoors"", ""plant"", ""red sky"", ""silhouette"", ""sky"", ""sunlight"", ""sunset"", ""tree"", ""tree trunk"", ""vegetation"", ""weather"", ""woodland""]"
dark moody forest,style_semantic,qdrant_semantic,5,39utYXTgMYo,data\unsplash-lite\images\39utYXTgMYo.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,a dark forest filled with lots of trees,"[""animal"", ""call of duty"", ""fire"", ""flare"", ""fog"", ""forest fire"", ""ground"", ""insect"", ""invertebrate"", ""jungle"", ""land"", ""light"", ""mist"", ""nature"", ""outdoors"", ""plant"", ""pollution"", ""sunlight"", ""tree"", ""vegetation"", ""weather""]"
dark moody forest,style_semantic,qdrant_semantic,6,1_a_WAqHIUU,data\unsplash-lite\images\1_a_WAqHIUU.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,green forest with tall trees,"[""abies"", ""agaric"", ""animal"", ""art"", ""bog"", ""creek"", ""den"", ""ditch"", ""eerie"", ""explore"", ""fir"", ""flare"", ""fog"", ""forest"", ""fungus"", ""glow"", ""grass"", ""ground"", ""grove"", ""jungle"", ""land"", ""light"", ""mammal"", ""marsh"", ""mushroom"", ""nature"", ""outdoors"", ""painting"", ""plant"", ""rain"", ""rain forest"", ""redwood"", ""root"", ""scenery"", ""soil"", ""stream"", ""sunlight"", ""swamp"", ""tree"", ""tree stump"", ""trees"", ""vegetation"", ""water"", ""weather"", ""wilderness"", ""wood"", ""woodland""]"
dark moody forest,style_semantic,qdrant_semantic,7,oO15xC38wj4,data\unsplash-lite\images\oO15xC38wj4.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,green forest,"[""atmosphere"", ""atmospheric phenomenon"", ""cityscape"", ""cloudy"", ""composition"", ""conifer"", ""darkness"", ""dirt road"", ""flora"", ""fog"", ""foggy"", ""foliage"", ""forest"", ""gravel"", ""hiking"", ""journey"", ""jungle"", ""land"", ""light"", ""mist"", ""morning"", ""mountain"", ""nature"", ""outdoors"", ""pine"", ""pines"", ""plant"", ""road"", ""sky"", ""sunrise"", ""tree"", ""urban"", ""vegetation"", ""winter"", ""woodland""]"
dark moody forest,style_semantic,qdrant_semantic,8,wB6B3AqXjy0,data\unsplash-lite\images\wB6B3AqXjy0.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,tall trees,"[""abies"", ""alone"", ""clouds"", ""cold"", ""conifer"", ""dark"", ""fir"", ""flare"", ""fog"", ""forest"", ""haunted"", ""haunting"", ""isolated"", ""jungle"", ""land"", ""light"", ""marion county"", ""mist"", ""nature"", ""oregon"", ""outdoors"", ""plant"", ""redwood"", ""remote"", ""silhouette"", ""smog"", ""smoke"", ""sphere"", ""spooky"", ""sunlight"", ""tree"", ""trees"", ""vegetation"", ""weather"", ""wild"", ""wildnerness"", ""woodland"", ""woods""]"
dark moody forest,style_semantic,qdrant_semantic,9,UhP0GH9mcCw,data\unsplash-lite\images\UhP0GH9mcCw.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,tall trees,"[""abies"", ""armored"", ""army"", ""arrow"", ""boat"", ""bog"", ""call of duty"", ""conifer"", ""creek"", ""exercise"", ""face"", ""fir"", ""fire"", ""fishing"", ""fitness"", ""forest"", ""forest fire"", ""grove"", ""hiking"", ""human"", ""hunting"", ""jogging"", ""jungle"", ""land"", ""marsh"", ""military"", ""military uniform"", ""nature"", ""outdoors"", ""paintball"", ""path"", ""people"", ""person"", ""photo"", ""photography"", ""plant"", ""portrait"", ""rainforest"", ""redwood"", ""rock"", ""sitting"", ""sniper"", ""snow"", ""soldier"", ""sport"", ""sports"", ""standing"", ""stream"", ""sunlight"", ""swamp"", ""symbol"", ""trail"", ""transportation"", ""tree"", ""vegetation"", ""vehicle"", ""water"", ""wilderness"", ""wood"", ""woodland"", ""working out""]"
dark moody forest,style_semantic,qdrant_semantic,10,fG34nL4nDZY,data\unsplash-lite\images\fG34nL4nDZY.jpg,2,Full visual match. Strong forest retrieval with some variation in how dark and moody the results are.,forest,yes,good_match,2,empty roads surrounded with trees,"[""abies"", ""accipiter"", ""animal"", ""art"", ""birch"", ""bird"", ""blue jay"", ""boardwalk"", ""bog"", ""bridge"", ""building"", ""cabin"", ""camping"", ""conifer"", ""cottage"", ""creek"", ""deer"", ""ditch"", ""elk"", ""fir"", ""forest"", ""ground"", ""grove"", ""house"", ""housing"", ""ice"", ""jay"", ""jungle"", ""land"", ""mammal"", ""marsh"", ""nature"", ""outdoors"", ""painting"", ""path"", ""plant"", ""redwood"", ""river"", ""road"", ""scenery"", ""slate"", ""stream"", ""swamp"", ""trail"", ""tree"", ""tree trunk"", ""vegetation"", ""water"", ""wildlife"", ""wolf"", ""wood"", ""woodland""]"
dark moody forest,style_semantic,qdrant_rerank,1,Hr8gz4OE-Cs,data\unsplash-lite\images\Hr8gz4OE-Cs.jpg,1,Partial visual match. Reranking keeps the forest theme and generally prioritizes darker atmospheric images.,forest,partial,style_mismatch,1,silhouette of trees during nighttime,"[""animal"", ""astronomy"", ""flock"", ""fog"", ""foggy"", ""full moon"", ""mist"", ""misty"", ""moon"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""ridge"", ""space"", ""treeline"", ""trees"", ""universe"", ""weather""]"
dark moody forest,style_semantic,qdrant_rerank,2,DfYPBHaOR04,data\unsplash-lite\images\DfYPBHaOR04.jpg,2,Full visual match. Reranking keeps the forest theme and generally prioritizes darker atmospheric images.,forest,yes,good_match,2,bare trees,"[""abies"", ""astronomy"", ""birch"", ""bush"", ""conifer"", ""dawn"", ""dusk"", ""fir"", ""fire"", ""flame"", ""flare"", ""fog"", ""forest"", ""forest fire"", ""ground"", ""grove"", ""jungle"", ""land"", ""light"", ""nature"", ""night"", ""outdoors"", ""plant"", ""red sky"", ""silhouette"", ""sky"", ""sunlight"", ""sunset"", ""tree"", ""tree trunk"", ""vegetation"", ""weather"", ""woodland""]"
dark moody forest,style_semantic,qdrant_rerank,3,oO15xC38wj4,data\unsplash-lite\images\oO15xC38wj4.jpg,2,Full visual match. Reranking keeps the forest theme and generally prioritizes darker atmospheric images.,forest,yes,good_match,2,green forest,"[""atmosphere"", ""atmospheric phenomenon"", ""cityscape"", ""cloudy"", ""composition"", ""conifer"", ""darkness"", ""dirt road"", ""flora"", ""fog"", ""foggy"", ""foliage"", ""forest"", ""gravel"", ""hiking"", ""journey"", ""jungle"", ""land"", ""light"", ""mist"", ""morning"", ""mountain"", ""nature"", ""outdoors"", ""pine"", ""pines"", ""plant"", ""road"", ""sky"", ""sunrise"", ""tree"", ""urban"", ""vegetation"", ""winter"", ""woodland""]"
dark moody forest,style_semantic,qdrant_rerank,4,Jea6w_Z72xw,data\unsplash-lite\images\Jea6w_Z72xw.jpg,2,Full visual match. Reranking keeps the forest theme and generally prioritizes darker atmospheric images.,forest,yes,good_match,2,tree covered with snow during daytime,"[""abies"", ""art"", ""conifer"", ""dock"", ""fir"", ""flare"", ""fog"", ""ice"", ""land"", ""larch"", ""light"", ""mist"", ""mountain"", ""nature"", ""outdoors"", ""painting"", ""pier"", ""pine"", ""plant"", ""port"", ""redwood"", ""scenery"", ""snow"", ""spruce"", ""texture"", ""tree"", ""vegetation"", ""water"", ""waterfront"", ""weather"", ""winter""]"
dark moody forest,style_semantic,qdrant_rerank,5,wB6B3AqXjy0,data\unsplash-lite\images\wB6B3AqXjy0.jpg,2,Full visual match. Reranking keeps the forest theme and generally prioritizes darker atmospheric images.,forest,yes,good_match,2,tall trees,"[""abies"", ""alone"", ""clouds"", ""cold"", ""conifer"", ""dark"", ""fir"", ""flare"", ""fog"", ""forest"", ""haunted"", ""haunting"", ""isolated"", ""jungle"", ""land"", ""light"", ""marion county"", ""mist"", ""nature"", ""oregon"", ""outdoors"", ""plant"", ""redwood"", ""remote"", ""silhouette"", ""smog"", ""smoke"", ""sphere"", ""spooky"", ""sunlight"", ""tree"", ""trees"", ""vegetation"", ""weather"", ""wild"", ""wildnerness"", ""woodland"", ""woods""]"
dark moody forest,style_semantic,qdrant_rerank,6,wL8Yx2tOmYI,data\unsplash-lite\images\wL8Yx2tOmYI.jpg,2,Full visual match. Reranking keeps the forest theme and generally prioritizes darker atmospheric images.,forest,yes,good_match,2,bare tree foggy scenery,"[""backgrounds"", ""flare"", ""fog"", ""forest"", ""grove"", ""jungle"", ""land"", ""light"", ""mist"", ""nature"", ""outdoors"", ""plant"", ""silhouette"", ""sunlight"", ""tree"", ""vegetation"", ""wallpapers"", ""weather"", ""woodland""]"
dark moody forest,style_semantic,qdrant_rerank,7,mtZ_nK35Kmo,data\unsplash-lite\images\mtZ_nK35Kmo.jpg,1,Partial visual match. Reranking keeps the forest theme and generally prioritizes darker atmospheric images.,forest,partial,style_mismatch,2,forest,"[""abies"", ""animal"", ""art"", ""conifer"", ""dark"", ""deer"", ""fir"", ""flare"", ""fog"", ""forest"", ""grove"", ""jungle"", ""land"", ""light"", ""mammal"", ""mood"", ""moody"", ""mystery"", ""nature"", ""outdoors"", ""outside"", ""painting"", ""path"", ""plant"", ""redwood"", ""secret"", ""shadow"", ""sunlight"", ""tree"", ""tree trunk"", ""treeline"", ""trees"", ""vegetation"", ""weather"", ""wildlife"", ""woodland"", ""woods""]"
dark moody forest,style_semantic,qdrant_rerank,8,eDfb2vObvvs,data\unsplash-lite\images\eDfb2vObvvs.jpg,2,Full visual match. Reranking keeps the forest theme and generally prioritizes darker atmospheric images.,forest,yes,good_match,2,foggy mountain scenery,"[""abies"", ""conifer"", ""dark"", ""fir"", ""fog"", ""forest"", ""mist"", ""myst"", ""mystical"", ""nature"", ""outdoors"", ""pine"", ""plant"", ""schwarzwald"", ""shadow"", ""spruce"", ""tree"", ""weather""]"
